#
# This file was compiled from multiple sources.
# Web Mail: https://github.com/mailcheck/mailcheck/wiki/List-of-Popular-Domains
# Disposable Mail: https://www.npmjs.com/package/disposable-email-domains
# Messaging: https://www.raymond.cc/blog/list-of-web-messengers-for-your-convenience/
#
#
#
#
icq.com,Messaging
webmessenger.yahoo.com,Messaging
talk.google.com,Messaging
talkgadget.google.com,Messaging
messenger.live.com,Messaging
trillian.im,Messaging
ebuddy.com,Messaging
imo.im,Messaging
plus.im,Messaging
karoolark.com,Messaging
126.com,Web Email
163.com,Web Email
21cn.com,Web Email
alice.it,Web Email
aliyun.com,Web Email
aol.it,Web Email
arnet.com.ar,Web Email
att.net,Web Email
bell.net,Web Email
bellsouth.net,Web Email
blueyonder.co.uk,Web Email
bol.com.br,Web Email
bt.com,Web Email
btinternet.com,Web Email
charter.net,Web Email
comcast.net,Web Email
cox.net,Web Email
daum.net,Web Email
earthlink.net,Web Email
email.com,Web Email
email.it,Web Email
facebook.com,Web Email
fastmail.fm,Web Email
fibertel.com.ar,Web Email
foxmail.com,Web Email
free.fr,Web Email
freeserve.co.uk,Web Email
games.com,Web Email
globo.com,Web Email
globomail.com,Web Email
gmail.com,Web Email
gmx.com,Web Email
gmx.de,Web Email
gmx.fr,Web Email
gmx.net,Web Email
googlemail.com,Web Email
hanmail.net,Web Email
hotmail.be,Web Email
hotmail.ca,Web Email
hotmail.co.uk,Web Email
hotmail.com,Web Email
hotmail.com.ar,Web Email
hotmail.com.br,Web Email
hotmail.com.mx,Web Email
hotmail.de,Web Email
hotmail.es,Web Email
hotmail.fr,Web Email
hotmail.it,Web Email
hush.com,Web Email
hushmail.com,Web Email
icloud.com,Web Email
ig.com.br,Web Email
iname.com,Web Email
inbox.com,Web Email
itelefonica.com.br,Web Email
juno.com,Web Email
keemail.me,Web Email
laposte.net,Web Email
lavabit.com,Web Email
libero.it,Web Email
list.ru,Web Email
live.be,Web Email
live.co.uk,Web Email
live.com,Web Email
live.com.ar,Web Email
live.com.mx,Web Email
live.de,Web Email
live.fr,Web Email
live.it,Web Email
love.com,Web Email
mac.com,Web Email
mail.,Web Email
mail.aol.com,Web Email
mail.com,Web Email
mail.google.com,Web Email
mail.ru,Web Email
mail.yahoo.ca,Web Email
mail.yahoo.co.id,Web Email
mail.yahoo.co.in,Web Email
mail.yahoo.co.jp,Web Email
mail.yahoo.com,Web Email
mail.yahoo.com.ar,Web Email
mail.yahoo.com.br,Web Email
mail.yahoo.com.mx,Web Email
mail.yahoo.com.ph,Web Email
mail.yahoo.com.sg,Web Email
mail.yahoo.de,Web Email
mail.yahoo.fr,Web Email
me.com,Web Email
nate.com,Web Email
naver.com,Web Email
neuf.fr,Web Email
ntlworld.com,Web Email
o2.co.uk,Web Email
oi.com.br,Web Email
online.de,Web Email
orange.fr,Web Email
orange.net,Web Email
outlook.com,Web Email
outlook.com.br,Web Email
pobox.com,Web Email
poste.it,Web Email
prodigy.net.mx,Web Email
protonmail.ch,Web Email
protonmail.com,Web Email
qq.com,Web Email
r7.com,Web Email
rambler.ru,Web Email
rocketmail.com,Web Email
rogers.com,Web Email
safe-mail.net,Web Email
sbcglobal.net,Web Email
sfr.fr,Web Email
shaw.ca,Web Email
sina.cn,Web Email
sina.com,Web Email
sky.com,Web Email
skynet.be,Web Email
speedy.com.ar,Web Email
sympatico.ca,Web Email
t-online.de,Web Email
talktalk.co.uk,Web Email
telenet.be,Web Email
teletu.it,Web Email
terra.com.br,Web Email
tin.it,Web Email
tiscali.co.uk,Web Email
tiscali.it,Web Email
tuta.io,Web Email
tutamail.com,Web Email
tutanota.com,Web Email
tutanota.de,Web Email
tvcablenet.be,Web Email
uol.com.br,Web Email
verizon.net,Web Email
virgilio.it,Web Email
virgin.net,Web Email
virginmedia.com,Web Email
voo.be,Web Email
wanadoo.co.uk,Web Email
wanadoo.fr,Web Email
web.de,Web Email
wow.com,Web Email
ya.ru,Web Email
yahoo.co.kr,Web Email
yahoo.it,Web Email
yandex.com,Web Email
yandex.ru,Web Email
yeah.net,Web Email
ygm.com,Web Email
ymail.com,Web Email
zipmail.com.br,Web Email
zoho.com,Web Email
0-180.com,Disposable Email
0-30-24.com,Disposable Email
0-420.com,Disposable Email
0-900.com,Disposable Email
0-aa.com,Disposable Email
0-mail.com,Disposable Email
0-z.xyz,Disposable Email
00.pe,Disposable Email
000000pay.com,Disposable Email
000476.com,Disposable Email
000521.xyz,Disposable Email
00082aa.com,Disposable Email
00082cc.com,Disposable Email
00082ff.com,Disposable Email
00082ii.com,Disposable Email
00082mm.com,Disposable Email
00082rr.com,Disposable Email
00082ss.com,Disposable Email
00082uu.com,Disposable Email
00082zz.com,Disposable Email
000865b.com,Disposable Email
000865e.com,Disposable Email
000865g.com,Disposable Email
000865j.com,Disposable Email
0009827.com,Disposable Email
000av.app,Disposable Email
000br88.com,Disposable Email
000xxoo.com,Disposable Email
0010.monster,Disposable Email
0018k7.com,Disposable Email
001913.com,Disposable Email
0019k7.com,Disposable Email
001xs.net,Disposable Email
001xs.org,Disposable Email
001xs.xyz,Disposable Email
002.city,Disposable Email
002288211.com,Disposable Email
002r.com,Disposable Email
002t.com,Disposable Email
0031casino.com,Disposable Email
003271.com,Disposable Email
003388211.com,Disposable Email
0039.cf,Disposable Email
0039.ga,Disposable Email
0039.gq,Disposable Email
0039.ml,Disposable Email
003j.com,Disposable Email
004697.com,Disposable Email
004k.com,Disposable Email
004r.com,Disposable Email
005005.xyz,Disposable Email
005588211.com,Disposable Email
0058.ru,Disposable Email
005f4.xyz,Disposable Email
006j.com,Disposable Email
006o.com,Disposable Email
006z.com,Disposable Email
007.surf,Disposable Email
007946.com,Disposable Email
007948.com,Disposable Email
007dotcom.com,Disposable Email
007security.com,Disposable Email
008106.com,Disposable Email
0083015.com,Disposable Email
008g8662shjel9p.xyz,Disposable Email
0094445.com,Disposable Email
009988211.com,Disposable Email
009qs.com,Disposable Email
00b2bcr51qv59xst2.cf,Disposable Email
00b2bcr51qv59xst2.ga,Disposable Email
00b2bcr51qv59xst2.gq,Disposable Email
00b2bcr51qv59xst2.ml,Disposable Email
00b2bcr51qv59xst2.tk,Disposable Email
00daipai.com,Disposable Email
00g0.com,Disposable Email
00xht.com,Disposable Email
01-lund.ru,Disposable Email
0100110tomachine.com,Disposable Email
01011099.com,Disposable Email
0101888dns.com,Disposable Email
0104445.com,Disposable Email
01080.ru,Disposable Email
010880.com,Disposable Email
01092019.ru,Disposable Email
010xfhs.com,Disposable Email
01106.monster,Disposable Email
0111vns.com,Disposable Email
01122200.com,Disposable Email
01122233.com,Disposable Email
01122255.com,Disposable Email
01133322.com,Disposable Email
01133333.com,Disposable Email
01133377.com,Disposable Email
01144422.com,Disposable Email
01144488.com,Disposable Email
01144499.com,Disposable Email
01155555.com,Disposable Email
0124445.com,Disposable Email
0134445.com,Disposable Email
01428570.xyz,Disposable Email
01502.monster,Disposable Email
0164445.com,Disposable Email
01689306707.mobi,Disposable Email
0174445.com,Disposable Email
0184445.com,Disposable Email
0188.info,Disposable Email
0188019.com,Disposable Email
01911.ru,Disposable Email
019352.com,Disposable Email
019625.com,Disposable Email
0199902.com,Disposable Email
0199903.com,Disposable Email
0199906.com,Disposable Email
0199908.com,Disposable Email
0199912.com,Disposable Email
0199917.com,Disposable Email
0199918.com,Disposable Email
0199919.com,Disposable Email
0199920.com,Disposable Email
0199921.com,Disposable Email
0199923.com,Disposable Email
0199924.com,Disposable Email
0199926.com,Disposable Email
0199930.com,Disposable Email
0199931.com,Disposable Email
0199934.com,Disposable Email
0199935.com,Disposable Email
0199937.com,Disposable Email
0199938.com,Disposable Email
0199941.com,Disposable Email
0199942.com,Disposable Email
0199945.com,Disposable Email
0199946.com,Disposable Email
0199947.com,Disposable Email
0199948.com,Disposable Email
0199949.com,Disposable Email
0199950.com,Disposable Email
0199952.com,Disposable Email
0199954.com,Disposable Email
0199956.com,Disposable Email
0199959.com,Disposable Email
0199960.com,Disposable Email
0199961.com,Disposable Email
0199963.com,Disposable Email
0199965.com,Disposable Email
0199968.com,Disposable Email
0199970.com,Disposable Email
0199971.com,Disposable Email
0199972.com,Disposable Email
0199973.com,Disposable Email
0199974.com,Disposable Email
0199976.com,Disposable Email
0199980.com,Disposable Email
0199983.com,Disposable Email
0199984.com,Disposable Email
0199985.com,Disposable Email
0199986.com,Disposable Email
01bktwi2lzvg05.cf,Disposable Email
01bktwi2lzvg05.ga,Disposable Email
01bktwi2lzvg05.gq,Disposable Email
01bktwi2lzvg05.ml,Disposable Email
01bktwi2lzvg05.tk,Disposable Email
01g.cloud,Disposable Email
01mc.ru,Disposable Email
01rexell.website,Disposable Email
0204445.com,Disposable Email
021-club.live,Disposable Email
021-game.live,Disposable Email
021-games.live,Disposable Email
021go.org,Disposable Email
021vip.org,Disposable Email
0234445.com,Disposable Email
02433.monster,Disposable Email
02466.cf,Disposable Email
02466.ga,Disposable Email
02466.gq,Disposable Email
02466.ml,Disposable Email
02540.xyz,Disposable Email
0264445.com,Disposable Email
027168.com,Disposable Email
02831.monster,Disposable Email
02914.monster,Disposable Email
0294445.com,Disposable Email
02a2k17zaxk9cal.xyz,Disposable Email
02bmw.ru,Disposable Email
02didi.com,Disposable Email
02nss.icu,Disposable Email
02rexell.website,Disposable Email
02zbji.us,Disposable Email
03-genkzmail.ga,Disposable Email
0304445.com,Disposable Email
031803.com,Disposable Email
031804.com,Disposable Email
031806.com,Disposable Email
031823.com,Disposable Email
031825.com,Disposable Email
031827.com,Disposable Email
031829.com,Disposable Email
031832.com,Disposable Email
031834.com,Disposable Email
031836.com,Disposable Email
031837.com,Disposable Email
031839.com,Disposable Email
031845.com,Disposable Email
031850.com,Disposable Email
031859.com,Disposable Email
031870.com,Disposable Email
031873.com,Disposable Email
031879.com,Disposable Email
031892.com,Disposable Email
031897.com,Disposable Email
031905.com,Disposable Email
031906.com,Disposable Email
0322.info,Disposable Email
03343.monster,Disposable Email
0334445.com,Disposable Email
0335g.com,Disposable Email
0351an.com,Disposable Email
0354445.com,Disposable Email
0374445.com,Disposable Email
039837.com,Disposable Email
039mch.info,Disposable Email
03group.ru,Disposable Email
03rexell.website,Disposable Email
03riri.com,Disposable Email
03vtg9.us,Disposable Email
04.biz,Disposable Email
04022019usercontent.cf,Disposable Email
0403site01.fun,Disposable Email
0403site02.fun,Disposable Email
04058.monster,Disposable Email
0406.group,Disposable Email
0440tlrfm056aznoelu9775.com,Disposable Email
0440tvrzee5qzzbpreu8481.com,Disposable Email
045.net,Disposable Email
04514.monster,Disposable Email
0454445.com,Disposable Email
046189.icu,Disposable Email
04700.xyz,Disposable Email
04834.xyz,Disposable Email
04840.monster,Disposable Email
0484445.com,Disposable Email
049335.com,Disposable Email
049356.com,Disposable Email
04ocdi.us,Disposable Email
04rexell.website,Disposable Email
04t687ck855wd6u.xyz,Disposable Email
050506.com,Disposable Email
05088.xyz,Disposable Email
05379.monster,Disposable Email
0551149.xyz,Disposable Email
0553jt.com,Disposable Email
0554445.com,Disposable Email
05555.monster,Disposable Email
05602.monster,Disposable Email
05643.monster,Disposable Email
0575520.com,Disposable Email
0579city.com,Disposable Email
058583.com,Disposable Email
05873.monster,Disposable Email
05didi.com,Disposable Email
05gb.com,Disposable Email
05net.info,Disposable Email
05ovik.com,Disposable Email
05rexell.website,Disposable Email
0614445.com,Disposable Email
061642.icu,Disposable Email
0623456.com,Disposable Email
0624445.com,Disposable Email
062ee.com,Disposable Email
062ii.com,Disposable Email
062jj.com,Disposable Email
062nn.com,Disposable Email
0644445.com,Disposable Email
06460.monster,Disposable Email
064742.com,Disposable Email
065260.com,Disposable Email
0654445.com,Disposable Email
06600.monster,Disposable Email
06961616.xyz,Disposable Email
069827.com,Disposable Email
069837.com,Disposable Email
06inci.xyz,Disposable Email
06rexell.website,Disposable Email
07-izvestiya.ru,Disposable Email
07-vesti.ru,Disposable Email
0704445.com,Disposable Email
0713wang.com,Disposable Email
07157.com,Disposable Email
071qs.com,Disposable Email
